,team,W,L,W/L%,GB,PS/G,PA/G,SRS,year,confrence
482,Chicago Bulls*,41,41,.500,23.0,97.8,97.2,0.51,2006,Eastern
483,Milwaukee Bucks*,40,42,.488,24.0,97.8,98.8,-1.07,2006,Eastern
484,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2006,Eastern
485,Miami Heat*,52,30,.634,—,99.9,96.0,3.59,2006,Eastern
486,Washington Wizards*,42,40,.512,10.0,101.7,99.8,1.57,2006,Eastern
487,Orlando Magic,36,46,.439,16.0,94.9,96.0,-1.26,2006,Eastern
488,Charlotte Bobcats,26,56,.317,26.0,96.9,100.9,-3.90,2006,Eastern
489,Atlanta Hawks,26,56,.317,26.0,97.2,102.0,-4.69,2006,Eastern
490,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2006,Western
491,Denver Nuggets*,44,38,.537,—,100.3,100.1,0.36,2006,Western
492,Utah Jazz,41,41,.500,3.0,92.4,95.0,-2.49,2006,Western
493,Seattle SuperSonics,35,47,.427,9.0,102.6,105.6,-2.88,2006,Western
494,Minnesota Timberwolves,33,49,.402,11.0,91.7,93.6,-1.75,2006,Western
495,Portland Trail Blazers,21,61,.256,23.0,88.8,98.3,-8.91,2006,Western
496,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2006,Western
497,Phoenix Suns*,54,28,.659,—,108.4,102.8,5.48,2006,Western
498,Los Angeles Clippers*,47,35,.573,7.0,97.2,95.6,1.75,2006,Western
499,Los Angeles Lakers*,45,37,.549,9.0,99.4,96.9,2.53,2006,Western
500,Sacramento Kings*,44,38,.537,10.0,98.9,97.3,1.61,2006,Western
501,Golden State Warriors,34,48,.415,20.0,98.5,99.8,-1.11,2006,Western
502,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2006,Western
503,San Antonio Spurs*,63,19,.768,—,95.6,88.8,6.69,2006,Western
504,Dallas Mavericks*,60,22,.732,3.0,99.1,93.1,5.96,2006,Western
505,Memphis Grizzlies*,49,33,.598,14.0,92.2,88.5,3.74,2006,Western
506,New Orleans/Oklahoma City Hornets,38,44,.463,25.0,92.8,95.6,-2.51,2006,Western
507,Houston Rockets,34,48,.415,29.0,90.1,91.7,-1.30,2006,Western
508,Toronto Raptors*,47,35,.573,—,99.5,98.5,0.61,2007,Eastern
509,New Jersey Nets*,41,41,.500,6.0,97.6,98.3,-1.00,2007,Eastern
510,Philadelphia 76ers,35,47,.427,12.0,94.9,98.0,-3.26,2007,Eastern
511,New York Knicks,33,49,.402,14.0,97.5,100.3,-3.06,2007,Eastern
512,Boston Celtics,24,58,.293,23.0,95.8,99.2,-3.70,2007,Eastern
513,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2007,Eastern
514,Detroit Pistons*,53,29,.646,—,96.0,91.8,3.69,2007,Eastern
515,Cleveland Cavaliers*,50,32,.610,3.0,96.8,92.9,3.33,2007,Eastern
516,Chicago Bulls*,49,33,.598,4.0,98.8,93.8,4.52,2007,Eastern
517,Indiana Pacers,35,47,.427,18.0,95.6,98.0,-2.62,2007,Eastern
518,Milwaukee Bucks,28,54,.341,25.0,99.7,104.0,-4.43,2007,Eastern
519,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2007,Eastern
520,Miami Heat*,44,38,.537,—,94.6,95.5,-1.21,2007,Eastern
521,Washington Wizards*,41,41,.500,3.0,104.3,104.9,-0.80,2007,Eastern
522,Orlando Magic*,40,42,.488,4.0,94.8,94.0,0.35,2007,Eastern
523,Charlotte Bobcats,33,49,.402,11.0,96.9,100.6,-3.97,2007,Eastern
524,Atlanta Hawks,30,52,.366,14.0,93.7,98.4,-4.86,2007,Eastern
525,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2007,Western
526,Utah Jazz*,51,31,.622,—,101.5,98.6,3.06,2007,Western
527,Denver Nuggets*,45,37,.549,6.0,105.4,103.7,1.69,2007,Western
528,Portland Trail Blazers,32,50,.390,19.0,94.1,98.4,-3.78,2007,Western
529,Minnesota Timberwolves,32,50,.390,19.0,96.1,99.7,-3.16,2007,Western
530,Seattle SuperSonics,31,51,.378,20.0,99.1,102.0,-2.45,2007,Western
531,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2007,Western
532,Phoenix Suns*,61,21,.744,—,110.2,102.9,7.28,2007,Western
533,Los Angeles Lakers*,42,40,.512,19.0,103.3,103.4,0.24,2007,Western
534,Golden State Warriors*,42,40,.512,19.0,106.5,106.9,0.00,2007,Western
535,Los Angeles Clippers,40,42,.488,21.0,95.6,96.1,-0.07,2007,Western
536,Sacramento Kings,33,49,.402,28.0,101.3,103.1,-1.35,2007,Western
537,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2007,Western
538,Dallas Mavericks*,67,15,.817,—,100.0,92.8,7.28,2007,Western
539,San Antonio Spurs*,58,24,.707,9.0,98.5,90.1,8.35,2007,Western
540,Houston Rockets*,52,30,.634,15.0,97.0,92.1,5.04,2007,Western
541,New Orleans/Oklahoma City Hornets,39,43,.476,28.0,95.5,97.1,-1.19,2007,Western
542,Memphis Grizzlies,22,60,.268,45.0,101.6,106.7,-4.44,2007,Western
543,Boston Celtics*,66,16,.805,—,100.5,90.3,9.30,2008,Eastern
544,Toronto Raptors*,41,41,.500,25.0,100.2,97.3,2.47,2008,Eastern
545,Philadelphia 76ers*,40,42,.488,26.0,96.6,96.2,0.19,2008,Eastern
546,New Jersey Nets,34,48,.415,32.0,95.8,100.9,-5.15,2008,Eastern
547,New York Knicks,23,59,.280,43.0,96.9,103.5,-6.55,2008,Eastern
548,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2008,Eastern
549,Detroit Pistons*,59,23,.720,—,97.5,90.1,6.67,2008,Eastern
550,Cleveland Cavaliers*,45,37,.549,14.0,96.4,96.7,-0.53,2008,Eastern
551,Indiana Pacers,36,46,.439,23.0,104.0,105.4,-1.87,2008,Eastern
552,Chicago Bulls,33,49,.402,26.0,97.3,100.4,-3.19,2008,Eastern
553,Milwaukee Bucks,26,56,.317,33.0,97.0,103.9,-6.92,2008,Eastern
554,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2008,Eastern
555,Orlando Magic*,52,30,.634,—,104.5,99.0,4.79,2008,Eastern
556,Washington Wizards*,43,39,.524,9.0,98.8,99.2,-0.61,2008,Eastern
557,Atlanta Hawks*,37,45,.451,15.0,98.2,100.0,-2.23,2008,Eastern
558,Charlotte Bobcats,32,50,.390,20.0,97.1,101.4,-4.49,2008,Eastern
559,Miami Heat,15,67,.183,37.0,91.4,100.0,-8.53,2008,Eastern
560,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2008,Western
561,Utah Jazz*,54,28,.659,—,106.2,99.3,6.86,2008,Western
562,Denver Nuggets*,50,32,.610,4.0,110.7,107.0,3.74,2008,Western
563,Portland Trail Blazers,41,41,.500,13.0,95.4,96.3,-0.52,2008,Western
564,Minnesota Timberwolves,22,60,.268,32.0,95.6,102.4,-6.26,2008,Western
565,Seattle SuperSonics,20,62,.244,34.0,97.5,106.3,-8.04,2008,Western
566,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2008,Western
567,Los Angeles Lakers*,57,25,.695,—,108.6,101.3,7.34,2008,Western
